current,wavelength
401.16430,784.57447
403.40537,784.57183
405.30541,784.57184
407.30288,784.57466
409.41403,784.57503
411.23287,784.57834
413.08419,784.58506
415.16286,784.59179
417.04666,784.60021
419.14389,784.60254
422.11342,784.62342
423.89978,784.63546
425.84854,784.64877
427.79730,784.66116
433.28629,784.68827
435.36496,784.69389
437.24876,784.70006
439.21917,784.70860
440.46421,784.69941
440.69156,784.71792
442.25057,784.71529
444.00445,784.72504
446.08312,784.73121
447.96692,784.73957
449.88319,784.75030
451.66955,784.75368
453.87814,784.77076
455.72946,784.78296
457.51582,784.79460
459.43210,784.80894
460.92614,784.81941
462.84242,784.82965
464.82366,784.84302
466.61002,784.85517
468.62373,784.87012
470.02034,784.88391
471.96909,784.89034
473.91785,784.90494
475.89908,784.91602
477.81536,784.93033
479.51314,784.94468
481.22568,784.94831
483.33684,784.95589
485.57791,784.96426
487.46170,784.97119
489.52594,784.98387
491.45665,784.98730
493.40541,785.00358
495.32168,785.01559
497.27044,785.02905
499.36767,785.03847
501.94745,785.06074
503.63638,785.07286
505.74753,785.08490
507.79372,785.09999
509.71886,785.11425
511.52420,785.11985
513.86734,785.13911
515.71866,785.15215
517.76486,785.16653
519.77857,785.18131
520.85039,785.18888
522.96154,785.20080
524.91029,785.21366
526.85905,785.22791
528.78461,785.24019
531.56854,785.26109
533.19251,785.28141
535.14126,785.29851
536.76522,785.31435
538.55158,785.33102
541.14992,785.35306
543.00124,785.35767
545.07992,785.36525
546.96371,785.37423
549.01455,785.38023
550.02759,785.38984
551.84488,785.39826
553.49205,785.41788
554.95361,785.43292
556.57758,785.44853
558.20154,785.46423
559.42853,785.47934
560.41013,785.49207
562.42384,785.50684
564.04781,785.52422
565.67177,785.53889
567.29573,785.55422
569.10014,785.57212
572.16762,785.59753
573.98646,785.60917
575.90274,785.62253
577.85149,785.63601
579.54927,785.65206
581.42421,785.66210
583.21057,785.68207
584.83453,785.69861
586.45850,785.71599
588.24486,785.73374
589.67394,785.75163
591.51598,785.76161
593.27914,785.78102
594.90311,785.79812
596.52707,785.81452
598.15103,785.83046
599.17181,785.84667
