Raman shift [1/cm],Counts
2700.931,0.042726
2698.427,0.042158
2695.923,0.042816
2693.419,0.043273
2690.915,0.04166
2688.412,0.042906
2685.908,0.042434
2683.404,0.041587
2680.9,0.04302
2678.396,0.044313
2675.892,0.04341
2673.388,0.044406
2670.884,0.042597
2668.38,0.042591
2665.877,0.04318
2663.373,0.043766
2660.869,0.044646
2658.365,0.044058
2655.861,0.044411
2653.357,0.043113
2650.853,0.044189
2648.349,0.043474
2645.846,0.045769
2643.342,0.044285
2640.838,0.045792
2638.334,0.045922
2635.83,0.047488
2633.326,0.044311
2630.822,0.04819
2628.318,0.046123
2625.814,0.048761
2623.311,0.046884
2620.807,0.046662
2618.303,0.045816
2615.799,0.046877
2613.295,0.049479
2610.791,0.047958
2608.287,0.050186
2605.783,0.047618
2603.279,0.048296
2600.776,0.04905
2598.272,0.048761
2595.768,0.048165
2593.264,0.05149
2590.76,0.048722
2588.256,0.051696
2585.752,0.048924
2583.248,0.05103
2580.744,0.050677
2578.241,0.050527
2575.737,0.051384
2573.233,0.052543
2570.729,0.053348
2568.225,0.053692
2565.721,0.052672
2563.217,0.051361
2560.713,0.052741
2558.21,0.052443
2555.706,0.054277
2553.202,0.053031
2550.698,0.053286
2548.194,0.054407
2545.69,0.056384
2543.186,0.054812
2540.682,0.055731
2538.178,0.056647
2535.675,0.05688
2533.171,0.056191
2530.667,0.057393
2528.163,0.057876
2525.659,0.05854
2523.155,0.056353
2520.651,0.057933
2518.147,0.057097
2515.643,0.057781
2513.14,0.058126
2510.636,0.057393
2508.132,0.056978
2505.628,0.059198
2503.124,0.059102
2500.62,0.059066
2498.116,0.058751
2495.612,0.060653
2493.109,0.058842
2490.605,0.058493
2488.101,0.059175
2485.597,0.060109
2483.093,0.059913
2480.589,0.060052
2478.085,0.060027
2475.581,0.060156
2473.077,0.060347
2470.574,0.063158
2468.07,0.062799
2465.566,0.063671
2463.062,0.062959
2460.558,0.062938
2458.054,0.063447
2455.55,0.066106
2453.046,0.065357
2450.542,0.064185
2448.039,0.064844
2445.535,0.068155
2443.031,0.066968
2440.527,0.065995
2438.023,0.067484
2435.519,0.067634
2433.015,0.069523
2430.511,0.070246
2428.007,0.06979
2425.504,0.070763
2423,0.071225
2420.496,0.070879
2417.992,0.069983
2415.488,0.070724
2412.984,0.07154
2410.48,0.07259
2407.976,0.074702
2405.473,0.074264
2402.969,0.076163
2400.465,0.075799
2397.961,0.072025
2395.457,0.074033
2392.953,0.074103
2390.449,0.076228
2387.945,0.075766
2385.441,0.0767
2382.938,0.075613
2380.434,0.076055
2377.93,0.076339
2375.426,0.077854
2372.922,0.079054
2370.418,0.081334
2367.914,0.08161
2365.41,0.081525
2362.906,0.0801
2360.403,0.08359
2357.899,0.083794
2355.395,0.08432
2352.891,0.083642
2350.387,0.083141
2347.883,0.084486
2345.379,0.08653
2342.875,0.084827
2340.371,0.085381
2337.868,0.085885
2335.364,0.088182
2332.86,0.086024
2330.356,0.087821
2327.852,0.089744
2325.348,0.090784
2322.844,0.090503
2320.34,0.089899
2317.837,0.090075
2315.333,0.091838
2312.829,0.090521
2310.325,0.091234
2307.821,0.091376
2305.317,0.093918
2302.813,0.092295
2300.309,0.09325
2297.805,0.095629
2295.302,0.09689
2292.798,0.096841
2290.294,0.098857
2287.79,0.098111
2285.286,0.097896
2282.782,0.099262
2280.278,0.10027
2277.774,0.10086
2275.27,0.1006
2272.767,0.10065
2270.263,0.10281
2267.759,0.10407
2265.255,0.10397
2262.751,0.10699
2260.247,0.10673
2257.743,0.10965
2255.239,0.10905
2252.735,0.11109
2250.232,0.11167
2247.728,0.11127
2245.224,0.11082
2242.72,0.11354
2240.216,0.11556
2237.712,0.11488
2235.208,0.11771
2232.704,0.11658
2230.201,0.11879
2227.697,0.12062
2225.193,0.12146
2222.689,0.12175
2220.185,0.12266
2217.681,0.12333
2215.177,0.1256
2212.673,0.12561
2210.169,0.12354
2207.666,0.12527
2205.162,0.12559
2202.658,0.12679
2200.154,0.12863
2197.65,0.12845
2195.146,0.13208
2192.642,0.13107
2190.138,0.13218
2187.634,0.13187
2185.131,0.13502
2182.627,0.1334
2180.123,0.1344
2177.619,0.13591
2175.115,0.13444
2172.611,0.13668
2170.107,0.13577
2167.603,0.13768
2165.099,0.14181
2162.596,0.14192
2160.092,0.14184
2157.588,0.14514
2155.084,0.1451
2152.58,0.14713
2150.076,0.14876
2147.572,0.14992
2145.068,0.14839
2142.565,0.15019
2140.061,0.15196
2137.557,0.15162
2135.053,0.15471
2132.549,0.1546
2130.045,0.1582
2127.541,0.15691
2125.037,0.16211
2122.533,0.16324
2120.03,0.16456
2117.526,0.16581
2115.022,0.16852
2112.518,0.16696
2110.014,0.16836
2107.51,0.16909
2105.006,0.16851
2102.502,0.17006
2099.998,0.17245
2097.495,0.17557
2094.991,0.17814
2092.487,0.17964
2089.983,0.18129
2087.479,0.18012
2084.975,0.18042
2082.471,0.1815
2079.967,0.1827
2077.464,0.18294
2074.96,0.18241
2072.456,0.18308
2069.952,0.18505
2067.448,0.18955
2064.944,0.18761
2062.44,0.19018
2059.936,0.19272
2057.432,0.19259
2054.929,0.19384
2052.425,0.19634
2049.921,0.19623
2047.417,0.19658
2044.913,0.19779
2042.409,0.19975
2039.905,0.20146
2037.401,0.2028
2034.897,0.20549
2032.394,0.20608
2029.89,0.20781
2027.386,0.21011
2024.882,0.2102
2022.378,0.21285
2019.874,0.21535
2017.37,0.21726
2014.866,0.21635
2012.362,0.21895
2009.859,0.22166
2007.355,0.22478
2004.851,0.22887
2002.347,0.22556
1999.843,0.2288
1997.339,0.22972
1994.835,0.23278
1992.331,0.23529
1989.828,0.23767
1987.324,0.24062
1984.82,0.24432
1982.316,0.24615
1979.812,0.24859
1977.308,0.25008
1974.804,0.25276
1972.3,0.2546
1969.796,0.25727
1967.293,0.25838
1964.789,0.26256
1962.285,0.26617
1959.781,0.26914
1957.277,0.26855
1954.773,0.27449
1952.269,0.27782
1949.765,0.28022
1947.261,0.28078
1944.758,0.28213
1942.254,0.28337
1939.75,0.28765
1937.246,0.29145
1934.742,0.29294
1932.238,0.2971
1929.734,0.29893
1927.23,0.30084
1924.726,0.30175
1922.223,0.30286
1919.719,0.30278
1917.215,0.30595
1914.711,0.30652
1912.207,0.3066
1909.703,0.31021
1907.199,0.31096
1904.695,0.31532
1902.192,0.31416
1899.688,0.31855
1897.184,0.31915
1894.68,0.32093
1892.176,0.3208
1889.672,0.31922
1887.168,0.32054
1884.664,0.32087
1882.16,0.3224
1879.657,0.32573
1877.153,0.32743
1874.649,0.32854
1872.145,0.32996
1869.641,0.3329
1867.137,0.33721
1864.633,0.33445
1862.129,0.33587
1859.625,0.33567
1857.122,0.33551
1854.618,0.33623
1852.114,0.33745
1849.61,0.33683
